"Date","Price","Open","High","Low","Vol.","Change %"
"18-06-2020","43.444","44.080","44.210","42.871","6.38M","-1.45%"
"17-06-2020","44.083","43.868","44.705","43.085","8.15M","0.48%"
"16-06-2020","43.873","43.752","44.171","43.413","9.32M","0.28%"
"15-06-2020","43.752","44.047","44.073","41.858","11.28M","-0.65%"
"14-06-2020","44.039","45.107","45.118","43.602","7.30M","-2.36%"
"13-06-2020","45.104","44.742","45.183","44.304","7.81M","0.81%"
"12-06-2020","44.742","43.262","45.335","42.832","9.90M","3.44%"
"11-06-2020","43.252","46.657","46.927","42.161","12.48M","-7.29%"
"10-06-2020","46.653","45.880","47.051","45.674","9.30M","1.70%"
"09-06-2020","45.873","46.405","46.785","45.401","8.41M","-1.14%"
"08-06-2020","46.404","46.638","46.761","45.968","10.02M","-0.50%"
"07-06-2020","46.638","46.795","46.981","45.191","10.71M","-0.33%"
"06-06-2020","46.794","46.832","47.214","46.254","9.61M","-0.08%"
"05-06-2020","46.833","47.437","47.952","46.619","11.37M","-1.28%"
"04-06-2020","47.440","47.150","48.077","46.424","12.18M","0.62%"
"03-06-2020","47.149","46.016","47.493","45.331","12.43M","2.46%"
"02-06-2020","46.018","48.206","49.930","44.754","16.38M","-4.53%"
"01-06-2020","48.201","45.611","48.579","45.375","10.40M","5.68%"
"31-05-2020","45.611","47.730","47.790","45.182","12.40M","-4.47%"
"30-05-2020","47.746","44.502","48.011","44.208","13.38M","7.29%"
"29-05-2020","44.503","44.723","45.267","44.233","10.43M","-0.49%"
"28-05-2020","44.723","43.847","44.868","43.177","10.01M","2.00%"
"27-05-2020","43.847","42.274","43.991","42.231","9.38M","3.75%"
"26-05-2020","42.263","42.981","43.058","41.842","8.26M","-1.67%"
"25-05-2020","42.981","42.147","43.263","41.831","5.98M","1.97%"
"24-05-2020","42.152","43.874","44.533","42.152","9.73M","-3.93%"
"23-05-2020","43.875","44.203","44.735","43.705","8.00M","-0.76%"
"22-05-2020","44.210","42.931","44.643","42.391","10.41M","2.98%"
"21-05-2020","42.930","44.229","44.596","41.733","12.04M","-2.92%"
"20-05-2020","44.220","45.714","46.131","43.362","11.74M","-3.29%"
"19-05-2020","45.726","45.313","45.764","44.183","11.88M","0.91%"
"18-05-2020","45.313","43.670","46.503","43.655","16.79M","3.76%"
"17-05-2020","43.672","43.260","44.465","43.103","13.48M","0.94%"
"16-05-2020","43.264","42.737","43.863","42.512","12.69M","1.24%"
"15-05-2020","42.732","43.981","44.150","42.183","11.70M","-2.84%"
"14-05-2020","43.982","43.179","44.356","42.344","12.72M","1.86%"
"13-05-2020","43.178","42.184","43.735","41.959","10.54M","2.36%"
"12-05-2020","42.184","41.542","42.793","41.334","12.79M","1.37%"
"11-05-2020","41.613","42.101","42.849","39.575","15.36M","-1.19%"
"10-05-2020","42.115","47.019","47.019","39.993","18.60M","-10.43%"
"09-05-2020","47.020","47.711","49.088","46.951","10.08M","-1.48%"
"08-05-2020","47.725","47.364","48.398","46.390","10.76M","0.79%"
"07-05-2020","47.353","44.960","48.160","44.551","13.60M","5.31%"
"06-05-2020","44.963","46.549","47.526","44.822","10.17M","-3.41%"
